price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,CBD_distance,CBD_duration_time
395.0,1,2,1,House,1/182 Tenth St,MILDURA,3500.0,-34.18327,142.15381,"Mildura West Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College1.5 km away7-10CoEdGovernmentView Catchment,Mildura Senior College1.8 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,544110.9,22872.4
390.0,1,2,2,House,583 Deakin Avenue,MILDURA,3500.0,-34.212955,142.12823,"Mildura South Primary School0.1 km awayPrep-6CoEdGovernmentView Catchment,Mildura Senior College2.3 km awayPrep-12CoEdGovernmentView Catchment,Chaffey Secondary College2.6 km away7-10CoEdGovernmentView Catchment",False,215021470.0,541505.7,22650.7
360.0,1,2,1,Apartment / Unit / Flat,2/428 Walnut Ave,MILDURA,3500.0,-34.20182,142.1329,"Ranfurly Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Mildura Senior College1.2 km awayPrep-12CoEdGovernmentView Catchment,Chaffey Secondary College1.5 km away7-10CoEdGovernmentView Catchment",False,215021470.0,541250.1,22637.3
350.0,1,2,1,House,801 Fourteenth Street,MILDURA,3500.0,-34.200363,142.14912,"Mildura Senior College0.4 km awayPrep-12CoEdGovernmentView Catchment,Chaffey Secondary College0.5 km away7-10CoEdGovernmentView Catchment,Mildura Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment",False,215021470.0,541552.1,22633.9
350.0,1,2,1,House,3/428 Walnut Ave,MILDURA,3500.0,-34.20189,142.13298,"Ranfurly Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Mildura Senior College1.2 km awayPrep-12CoEdGovernmentView Catchment,Chaffey Secondary College1.5 km away7-10CoEdGovernmentView Catchment",False,215021470.0,541249.8,22637.3
350.0,1,2,1,Apartment / Unit / Flat,2/250 Seventh Street,MILDURA,3500.0,-34.17433,142.15393,"Mildura West Primary School0.6 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College2.4 km away7-10CoEdGovernmentView Catchment,Mildura Senior College2.7 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,545504.9,22973.8
350.0,1,2,1,Apartment / Unit / Flat,1/276 Ninth Street,MILDURA,3500.0,-34.176052,142.14873,"Mildura West Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College2.2 km away7-10CoEdGovernmentView Catchment,Mildura Senior College2.5 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,545254.2,22970.6
310.0,1,2,1,Apartment / Unit / Flat,4/861 Fifteenth Street,MILDURA,3500.0,-34.205074,142.13487,"Mildura South Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Mildura Senior College1.2 km awayPrep-12CoEdGovernmentView Catchment,Chaffey Secondary College1.6 km away7-10CoEdGovernmentView Catchment",False,215021470.0,540681.7,22583.4
290.0,1,2,1,House,2/145 Magnolia Avenue,MILDURA,3500.0,-34.192036,142.16202,"Mildura Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College1.4 km away7-10CoEdGovernmentView Catchment,Mildura Senior College1.7 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,542988.4,22766.8
260.0,1,1,1,Apartment / Unit / Flat,6/5-7 Cameron Avenue,MILDURA,3500.0,-34.182034,142.15048,"Mildura West Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College1.5 km away7-10CoEdGovernmentView Catchment,Mildura Senior College1.8 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,544306.0,22861.9
230.0,1,1,1,House,4/14 Trevatt Ct,MILDURA,3500.0,-34.193924,142.16002,"Mildura Primary School0.1 km awayPrep-6CoEdGovernmentView Catchment,Chaffey Secondary College1.1 km away7-10CoEdGovernmentView Catchment,Mildura Senior College1.4 km awayPrep-12CoEdGovernmentView Catchment",False,215021469.0,542519.7,22766.3
295.0,1,2,1,Apartment / Unit / Flat,4/131 Billabong Road,NICHOLS POINT,3501.0,-34.203304,142.22754,"Nichols Point Primary School2.2 km awayPrep-6CoEdGovernmentView Catchment,Irymple Secondary College6.6 km away7-10CoEdGovernmentView Catchment,Mildura Senior College7.6 km awayPrep-12CoEdGovernmentView Catchment",False,215021395.0,541977.0,23010.3
320.0,1,2,1,Apartment / Unit / Flat,4/44 Commercial Street,MERBEIN,3505.0,-34.168484,142.05719,"Merbein P-10 College1.3 km awayPrep-10CoEdGovernmentView Catchment,Mildura Senior College8.8 km awayPrep-12CoEdGovernmentView Catchment,Our Lady of the Sacred Heart School0.4 km awayPrep-6CoEdCatholicMore Info",False,215021396.0,553007.3,23264.0
300.0,1,3,0,House,13 Westh Street,UNDERBOOL,3509.0,-35.172337,141.80536,"Underbool Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Ouyen P-12 College48.6 km awayPrep-12CoEdGovernmentView Catchment",False,215021398.0,478860.8,20453.3
500.0,2,4,3,House,19 Antrim Street,MARONG,3515.0,-36.740944,144.13962,"Marong Primary School0.7 km awayPrep-6CoEdGovernmentView Catchment,Crusoe 7-10 Secondary College10.1 km away7-10CoEdGovernmentView Catchment,Bendigo Senior Secondary College12.6 km away10-12CoEdGovernmentView Catchment",False,202021026.0,157012.6,6943.2
280.0,1,3,1,House,32 Holloway Street,BOORT,3537.0,-36.11242,143.72957,Boort District P-12 School0.3 km awayPrep-12CoEdGovernmentView Catchment,False,202031033.0,257746.1,11090.2
400.0,2,4,3,House,11 Rose Street,MANANGATANG,3546.0,-35.052063,142.87982,Manangatang P-12 College0.7 km awayPrep-11CoEdGovernmentView Catchment,False,215031405.0,410689.0,17710.9
380.0,1,2,1,House,4B Thunder Street,BENDIGO,3550.0,-36.747025,144.28505,"Bendigo Senior Secondary College1 km away10-12CoEdGovernmentView Catchment,Camp Hill Primary School1.1 km awayPrep-6CoEdGovernmentView Catchment,Weeroona College Bendigo1.5 km away7-12CoEdGovernmentView Catchment",False,202011018.0,152924.4,7327.5
880.0,2,3,1,House,2/47-55 View Street,BENDIGO,3550.0,-36.758472,144.27689,"Camp Hill Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Bendigo Senior Secondary College0.4 km away10-12CoEdGovernmentView Catchment,Bendigo South East 7-10 Secondary College2.8 km away7-10CoEdGovernmentView Catchment",True,202011018.0,151285.7,7111.3
780.0,2,2,1,Apartment / Unit / Flat,2/23 View Point,BENDIGO,3550.0,-36.759148,144.27773,"Camp Hill Primary School0.4 km awayPrep-6CoEdGovernmentView Catchment,Bendigo Senior Secondary College0.5 km away10-12CoEdGovernmentView Catchment,Bendigo South East 7-10 Secondary College2.7 km away7-10CoEdGovernmentView Catchment",True,202011018.0,151391.4,7124.0
680.0,2,3,1,House,109 Hargreaves Street,BENDIGO,3550.0,-36.755424,144.28697,"Bendigo Senior Secondary College0.7 km away10-12CoEdGovernmentView Catchment,Camp Hill Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Weeroona College Bendigo2.1 km away7-12CoEdGovernmentView Catchment",True,202011018.0,153236.6,7204.4
680.0,2,3,2,House,2 Pitt Street,BENDIGO,3550.0,-36.760193,144.26654,"Bendigo Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Bendigo Senior Secondary College1.3 km away10-12CoEdGovernmentView Catchment,Bendigo South East 7-10 Secondary College3.4 km away7-10CoEdGovernmentView Catchment",True,202011018.0,150598.3,7042.2
