price,bathrooms,bedrooms,parking,type,street,suburb,postcode,latitude,longitude,school,furnished,SA2_code,nearestSchool,School_distance,to_School_time
470.0,2,4,2,House,16 Allspice Street,MANOR LAKES,3024.0,-37.86272,144.59718,"Ngarri Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.3 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4 km awayGovernmentMore Info",False,213051579.0,"{'dist': 39.376952923595944, 'nearest_coord': (-37.5191919, 144.705837)}",73152.8,3930.8
470.0,2,3,1,House,5 Graded Street,MANOR LAKES,3024.0,-37.8633,144.57654,"Ngarri Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.6 km awayPrep-12CoEdGovernmentView Catchment,Our Lady of the Southern Cross3 km awayPrep-6CoEdCatholicMore Info",False,213051579.0,"{'dist': 39.91866887468774, 'nearest_coord': (-37.5191919, 144.705837)}",75776.0,4233.8
460.0,2,3,1,House,16 Brushton Street,MANOR LAKES,3024.0,-37.875862,144.58565,"Ngarri Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.5 km awayPrep-12CoEdGovernmentView Catchment,Walcom Ngarrwa Secondary College3.9 km awayGovernmentMore Info",False,213051579.0,"{'dist': 41.04546258472738, 'nearest_coord': (-37.5191919, 144.705837)}",75431.0,4164.9
440.0,2,3,2,House,17 Edenvale Street,MANOR LAKES,3024.0,-37.86755,144.59514,"Manor Lakes P-12 College1 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School0.9 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2 km awayGovernmentMore Info",False,213051579.0,"{'dist': 39.941483153559425, 'nearest_coord': (-37.5191919, 144.705837)}",74146.3,3994.3
400.0,2,3,2,House,10 Cassata Road,MANOR LAKES,3024.0,-37.86691,144.57591,"Ngarri Primary School0.8 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.5 km awayPrep-12CoEdGovernmentView Catchment,Our Lady of the Southern Cross2.8 km awayPrep-6CoEdCatholicMore Info",False,213051579.0,"{'dist': 40.319201403081905, 'nearest_coord': (-37.5191919, 144.705837)}",75536.4,4209.0
600.0,2,4,2,House,24 Goodison Grove,MOUNT COTTRELL,3024.0,-37.82841,144.6485,"Tarneit Rise Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,Tarneit Senior College2.8 km away10-12CoEdGovernmentView Catchment,Tarneit P-9 College3 km awayPrep-9CoEdGovernmentView Catchment",False,213051582.0,"{'dist': 34.75186743207128, 'nearest_coord': (-37.5191919, 144.705837)}",46032.1,3271.4
1200.0,2,1,4,House,1407 Dohertys Road,MOUNT COTTRELL,3024.0,-37.815697,144.64928,"Tarneit Senior College3.3 km away10-12CoEdGovernmentView Catchment,Tarneit P-9 College3.6 km awayPrep-9CoEdGovernmentView Catchment,Wimba Primary School2 km awayGovernmentMore Info",False,213051582.0,"{'dist': 33.34360567891424, 'nearest_coord': (-37.5191919, 144.705837)}",44061.6,3060.7
470.0,2,4,2,House,24 Fusion Drive,WYNDHAM VALE,3024.0,-37.861927,144.60197,"Manor Lakes P-12 College1.4 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.6 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2.7 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.19100587195183, 'nearest_coord': (-37.5191919, 144.705837)}",73442.6,3937.2
430.0,1,3,1,House,9 Clover Lane,WYNDHAM VALE,3024.0,-37.88658,144.62262,"Riverbend Primary School1.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.3 km awayPrep-12CoEdGovernmentView Catchment,Wyndham Central Secondary College2.7 km away7-12CoEdGovernmentMore Info",False,213051590.0,"{'dist': 41.50258301794482, 'nearest_coord': (-37.5191919, 144.705837)}",52913.5,3872.2
430.0,2,3,1,House,56 Grangehill Mews,WYNDHAM VALE,3024.0,-37.84955,144.59538,"Ngarri Primary School2.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.8 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4.1 km awayGovernmentMore Info",False,213051589.0,"{'dist': 37.99842485960137, 'nearest_coord': (-37.5191919, 144.705837)}",73201.1,3944.6
520.0,2,4,2,House,10 Tasker Street,WYNDHAM VALE,3024.0,-37.86878,144.61858,"Riverbend Primary School1.2 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.6 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2.6 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.623391662972566, 'nearest_coord': (-37.5191919, 144.705837)}",54727.5,4045.6
510.0,2,4,2,House,59 Welcome Parade,WYNDHAM VALE,3024.0,-37.852295,144.59398,"Ngarri Primary School1.8 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.5 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4.2 km awayGovernmentMore Info",False,213051589.0,"{'dist': 38.32498928546742, 'nearest_coord': (-37.5191919, 144.705837)}",72677.4,3893.2
5002173.0,2,4,2,House,5 Somerdale Avenue,WYNDHAM VALE,3024.0,-37.873577,144.6249,"Riverbend Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2.6 km awayGovernmentMore Info",False,213051589.0,"{'dist': 40.044156303544334, 'nearest_coord': (-37.5191919, 144.705837)}",54053.7,4038.1
480.0,2,3,1,Townhouse,13 Wheatsheaf Road,WYNDHAM VALE,3024.0,-37.863182,144.62146,"Riverbend Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.1 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2 km awayGovernmentMore Info",False,213051589.0,"{'dist': 38.96388246012421, 'nearest_coord': (-37.5191919, 144.705837)}",55697.0,4177.2
500.0,2,3,2,House,10 Amadeus Street,WYNDHAM VALE,3024.0,-37.877712,144.6016,"Manor Lakes P-12 College0.4 km awayPrep-12CoEdGovernmentView Catchment,Laa Yulta Primary School1 km awayGovernmentMore Info,Ngarri Primary School1.9 km awayPrep-6CoEdGovernmentMore Info",False,213051579.0,"{'dist': 40.90694255523386, 'nearest_coord': (-37.5191919, 144.705837)}",75545.1,4141.7
4480.0,2,4,2,House,75 Brightvale Boulevard,WYNDHAM VALE,3024.0,-37.86489,144.61717,"Riverbend Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.7 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2.4 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.22365774461502, 'nearest_coord': (-37.5191919, 144.705837)}",55237.8,4119.1
540.0,2,4,2,House,1266 Ison Road,WYNDHAM VALE,3024.0,-37.863434,144.5983,"Manor Lakes P-12 College1.2 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.2 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2.4 km awayGovernmentMore Info",False,213051579.0,"{'dist': 39.430198873280276, 'nearest_coord': (-37.5191919, 144.705837)}",73614.5,3949.9
530.0,2,4,2,House,23 Eshal Crescent,WYNDHAM VALE,3024.0,-37.8679,144.62889,"Riverbend Primary School1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.4 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College1.9 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.36126978502276, 'nearest_coord': (-37.5191919, 144.705837)}",54968.0,4185.7
530.0,2,4,2,House,3 Worope Street,WYNDHAM VALE,3024.0,-37.86255,144.62102,"Riverbend Primary School1.7 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.1 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2 km awayGovernmentMore Info",False,213051589.0,"{'dist': 38.902311852848236, 'nearest_coord': (-37.5191919, 144.705837)}",55755.5,4189.6
520.0,2,4,2,House,47 Cloudburst Avenue,WYNDHAM VALE,3024.0,-37.867577,144.6182,"Riverbend Primary School1.3 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College1.6 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2.5 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.49869335914848, 'nearest_coord': (-37.5191919, 144.705837)}",54912.3,4072.2
500.0,2,3,2,House,1 Kilford Walk,WYNDHAM VALE,3024.0,-37.84839,144.58862,"Ngarri Primary School2.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College3.1 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4.7 km awayGovernmentMore Info",False,213051589.0,"{'dist': 38.030781553276626, 'nearest_coord': (-37.5191919, 144.705837)}",72450.5,3932.3
500.0,2,4,2,House,100 Ribblesdale Avenue,WYNDHAM VALE,3024.0,-37.89474,144.60822,"Wyndham Vale Primary School0.3 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.3 km awayPrep-12CoEdGovernmentView Catchment,Walcom Ngarrwa Secondary College1.4 km awayGovernmentMore Info",False,213051590.0,"{'dist': 42.63294448461433, 'nearest_coord': (-37.5191919, 144.705837)}",54589.2,4044.4
500.0,2,4,2,House,11 Worope Street,WYNDHAM VALE,3024.0,-37.863598,144.62158,"Riverbend Primary School1.6 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.1 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College2 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.00728093869265, 'nearest_coord': (-37.5191919, 144.705837)}",55676.4,4174.2
500.0,2,4,2,House,6 Bungalook Street,WYNDHAM VALE,3024.0,-37.864532,144.602,"Manor Lakes P-12 College1.1 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.5 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2.4 km awayGovernmentMore Info",False,213051579.0,"{'dist': 39.472092077273665, 'nearest_coord': (-37.5191919, 144.705837)}",73943.7,3985.2
485.0,2,4,2,House,17 Pembury Way,WYNDHAM VALE,3024.0,-37.898563,144.60655,"Wyndham Vale Primary School0.5 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.7 km awayPrep-12CoEdGovernmentView Catchment,Walcom Ngarrwa Secondary College1 km awayGovernmentMore Info",False,213051590.0,"{'dist': 43.078916044706304, 'nearest_coord': (-37.5191919, 144.705837)}",55058.2,4131.8
480.0,2,4,2,House,8 Jessen Way,WYNDHAM VALE,3024.0,-37.84932,144.5932,"Ngarri Primary School2.1 km awayPrep-6CoEdGovernmentView Catchment,Manor Lakes P-12 College2.9 km awayPrep-12CoEdGovernmentView Catchment,Brinbeal Secondary College4.3 km awayGovernmentMore Info",False,213051589.0,"{'dist': 38.02326158915146, 'nearest_coord': (-37.5191919, 144.705837)}",72520.2,3940.6
480.0,2,3,2,Townhouse,1 Fritelli Circuit,WYNDHAM VALE,3024.0,-37.862633,144.60316,"Manor Lakes P-12 College1.3 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.7 km awayPrep-6CoEdGovernmentMore Info,Laa Yulta Primary School2.6 km awayGovernmentMore Info",False,213051589.0,"{'dist': 39.24310082755922, 'nearest_coord': (-37.5191919, 144.705837)}",73573.0,3956.0
500.0,2,3,1,House,20 Sprightly Street,WYNDHAM VALE,3024.0,-37.86147,144.60367,"Manor Lakes P-12 College1.4 km awayPrep-12CoEdGovernmentView Catchment,Ngarri Primary School1.8 km awayPrep-6CoEdGovernmentMore Info,Riverbend Primary School2.7 km awayPrep-6CoEdGovernmentMore Info",False,213051589.0,"{'dist': 39.106942200841445, 'nearest_coord': (-37.5191919, 144.705837)}",73670.3,3970.0
