name,latitude,longitude
Port Campbell Lolly Shop,-38.6201077,142.9949696
Bass Coast Plaza,-38.6033035,145.5890158
Wonthaggi Plaza,-38.6038571,145.5875053
Murray Street Bazaar,-38.604944,145.5930667
Plaza Arcade,-38.6060048,145.5898668
Organic Lifestyle Blog,-38.4192541,143.9483938
The Crystal Cocoon,-38.43158880000001,145.8230172
Into The Rabbit Hole,-38.43158880000001,145.8230172
Korumburra Makers & Collectors,-38.4324616,145.823914
Newcomb Central Shopping Centre,-38.1700271,144.3926735
Bellarine Village Shopping Centre,-38.1687151,144.3887315
The Village Warralily Shopping Centre,-38.2300895,144.3722798
Bulbs Direct,-38.1635725,144.4099719
Mornington Central,-38.21900369999999,145.0400544
Mornington Village Shopping Centre,-38.2237368,145.040799
Empire Street Mall,-38.21940009999999,145.0379504
The Mall,-38.2190474,145.0386
Barkly Square,-38.221463,145.038616
Main Street Mornington,-38.2208631,145.0395814
Main Street Shops and Offices,-38.22271910000001,145.040251
Vale Arcade,-38.2227241,145.041006
Somerville Plaza,-38.2241344,145.1720021
Somerville Central,-38.2242914,145.1698061
Pearcedale Village Shopping Centre,-38.2020979,145.2326101
Baxter Central,-38.1943538,145.1593764
IGA Trafalgar,-38.20854779999999,146.1533322
Mid Valley Shopping Centre,-38.23736760000001,146.4297358
Eco Laundry Room (Lara),-38.02316069999999,144.410294
Lara Village Shopping Centre,-38.0234917,144.4101079
Balcombe Park Shopping Centre,-37.9773494,145.0305297
Seaview Shopping Centre,-37.9788106,145.0463266
Parkmore Shopping Centre,-37.9925747,145.1730838
Dandenong Square,-37.986908,145.2170233
Sabrina Constructions,-38.02137,145.222
Vanity Court Shopping Centre,-37.9877217,145.2138256
Hemmings Street Shopping Centre,-37.9828185,145.2021734
IGA Dandenong Plus Liquor,-37.9826557,145.2025172
Dandenong Hub,-37.98691540000001,145.2153007
Palm Plaza,-37.98550119999999,145.2168592
Dandenong Junction Shopping Centre,-37.97524249999999,145.2042251
David Street Shopping Centre,-37.9762987,145.2102092
Herbert Street Shopping Centre,-37.9819346,145.2230097
Railway Parade Shopping Centre,-37.9740875,145.1864399
Dale Motors,-37.973496,145.2208714
Dunearn Rd Shopping Centre,-37.96819259999999,145.2026148
Kingsclere Shopping Centre,-37.980898,145.166248
Keysborough South Shopping Centre,-38.0118837,145.1605722
Menzies Avenue Shopping Centre,-37.966291,145.2093725
Amwebz,-38.0315617,145.2188061
Mini Heatherton Rd Shopping Centre,-37.9667392,145.1865862
Birch Avenue Shopping Centre,-37.9638001,145.20503
Sunshine Marketplace,-37.7820491,144.8315219
Sunshine Square,-37.7755271,144.8274581
Sunshine Plaza Shopping Centre,-37.7823564,144.8336528
The Avenue Shopping Centre,-37.797681,144.8060201
Glen Gala Village,-37.7923178,144.7896768
Talintyre Shopping Centre,-37.798527,144.817727
Bell Street Shopping Centre,-37.78834020000001,144.8117088
Glengala Village,-37.7904961,144.817167
Derrimut Village Shopping Centre,-37.78345789999999,144.7718548
The Precinct,-37.7857084,144.8324763
Sunshine Business Association,-37.7812629,144.8327296
Suffolk Road Shopping Centre,-37.7717077,144.8317752
IGA Deer Park,-37.77783589999999,144.7558191
North Sunshine Shopping Centre,-37.7770239,144.8405293
Cairnlea Town Centre,-37.7584637,144.7898017
Hatchlands Plaza,-37.7777705,144.7558794
Warwick Road Shopping Centre,-37.768632,144.8366147
Misten Avenue Shops,-37.830212,144.8396904
Size 13 - Sneaker Depot Shoe and Mens Clothes Brooklyn,-37.8147832,144.8533552
Victoria Gardens Shopping Centre,-37.8132375,145.0116083
Melbourne's GPO,-37.8135391,144.9632758
Royal Arcade,-37.8145388,144.9640625
The Jam Factory,-37.8427394,144.995328
The Como Centre,-37.8394149,144.9958624
The Block Arcade,-37.815795,144.9646665
670 Chapel,-37.83735300000001,144.996265
Collins Place,-37.8144674,144.9733256
Centrepoint,-37.81411209999999,144.9652277
ANAESSIA & CARNIVEL BRIDAL FASHION HOUSE,-37.8152725,144.9650986
Linen House Outlet Fitzroy,-37.7975894,144.98425
Southern Cross Lane,-37.8127175,144.9703301
Midtown Melbourne,-37.81307650000001,144.9658905
Melbourne Central,-37.8102361,144.9627652
Emporium Melbourne,-37.8124234,144.9638295
Bourke Street Mall,-37.81376849999999,144.9644379
260 Collins,-37.8156628,144.9649979
The Strand Melbourne,-37.81278229999999,144.9627044
Southgate,-37.8203389,144.9660726
Goldsbrough Village,-37.81521709999999,144.957321
