name,latitude,longitude
Stony Point,-38.37406889999999,145.2216987
Crib Point Station,-38.36598369999999,145.2041561
Korumburra,-38.43083599999999,145.8238718
Winchelsea Railway Station,-38.2401679,143.9837612
Marshall Railway Station (Marshall),-38.19871009999999,144.3550024
Drysdale,-38.1800466,144.5575192
Somerville Station,-38.2253862,145.1763333
Baxter Station,-38.1940741,145.1605053
Darnum,-38.18625749999999,146.0033629
Trafalgar,-38.2074386,146.1548924
Morwell Railway Station (Morwell),-38.23675809999999,146.3972369
Rosedale Station,-38.15631339999999,146.7871525
Gnarkeet,-37.96950990000001,143.41044
Lara,-38.0219806,144.4146563
Dandenong,-37.9900305,145.2097015
Noble Park,-37.96662999999999,145.17632
Yarraman,-37.978044,145.191504
Walhalla Goldfields,-37.9589036,146.4198174
Rennick,-37.81746,140.96925
Nerrin Nerrin,-37.7636299,143.01823
Elaine,-37.7757694,144.027746
Sunshine,-37.78806,144.83258
Ardeer,-37.7830197,144.8017575
Albion Station,-37.77719999999999,144.82439
Deer Park,-37.7776206,144.7715273
Ginifer,-37.7600466,144.8113474
Flinders Street Railway Station,-37.8182711,144.9670618
Victoria Park,-37.7991487,144.9942957
Collingwood,-37.80441999999999,144.99365
Westgarth Station,-37.7805603,144.9991831
Dennis,-37.7791099,145.008228
Parliament,-37.811302,144.9730095
Richmond,-37.8237912,144.9891978
Burnley,-37.8276611,145.0077354
Hawthorn,-37.8218,145.0234
Melbourne Central,-37.80990389999999,144.9625258
Glenferrie,-37.8215484,145.0364722
Southern Cross,-37.81839,144.9525
North Richmond,-37.8103629,144.9924115
Clifton Hill,-37.7884264,144.9956125
West Richmond,-37.8149303,144.9915145
Rushall,-37.7828885,144.9917796
Jolimont,-37.816565,144.9841002
Merri,-37.77789910000001,144.9930574
Fairfield Station,-37.77923000000001,145.01706
East Richmond,-37.8263413,144.9972757
Mitcham,-37.8180871,145.1928918
Ringwood,-37.8156598,145.2294737
Nunawading,-37.8204283,145.1752369
Ringwood East,-37.8118265,145.2504077
Heatherdale,-37.8188683,145.2135253
Blackburn,-37.8201591,145.1499322
Lindenow South,-37.8250599,147.43482
Bairnsdale Station,-37.82846019999999,147.627407
Bairnsdale Station,-37.828711,147.6273133
Stavely,-37.6036399,142.63046
Mininera,-37.6033899,142.96193
Former Bungaree Train Station,-37.5593099,144.0047
Ballan Railway Station (Ballan),-37.60410890000001,144.22545
Hurstbridge,-37.6394561,145.1921924
Beaufort Railway Station,-37.42770170000001,143.3823694
Bullarto,-37.394784,144.2226651
Musk Railway Station,-37.3727357,144.1928029
Macedon Railway Station (Macedon),-37.4236545,144.5613384
Wallan Railway Station (Wallan),-37.41678129999999,145.0052504
Heathcote Junction Station,-37.37170040000001,145.0281978
Grampians Railway Station,-37.2138847,142.633343
Warra Yadin,-37.2275964,143.0012237
Eversley,-37.1941964,143.1751609
Amphitheatre,-37.1822125,143.4023194
Malmsbury Station,-37.1895775,144.3752477
Broadford,-37.2073,145.04282
Simson,-36.9917899,143.76568
Carisbrook,-37.042979,143.8096257
Harcourt,-37.00552990000001,144.25222
Wal Wal,-36.8266828,142.604667
Bealiba,-36.7899704,143.5534409
Laurie,-36.7798403,143.7793803
Painswick,-36.8060301,143.7494166
Tarnagulla,-36.7633198,143.8309177
Kangaroo Flat,-36.7949499,144.2488748
Nagambie Railway Station (Nagambie),-36.7855213,145.1604827
Longwood,-36.8019318,145.4186189
Jung,-36.60980989999999,142.35922
Bridgewater,-36.6029029,143.9464332
Murchison East Railway Station (Murchison East),-36.6131,145.2406
Kaniva,-36.3773314,141.2420699
Kiata,-36.3619999,141.79553
Arkona,-36.36177989999999,142.02282
Nullan,-36.4073678,142.5521776
Donald,-36.3674607,142.9870222
Tandarra,-36.43172989999999,144.21933
Dingee,-36.3691103,144.2311473
Shepparton Railway Station (Shepparton),-36.3838448,145.4061242
Mooroopna Station (Mooroopna),-36.3991886,145.3578498
Ski Tube Perisher Station,-36.40519149999999,148.4117395
Tarranyurk,-36.2093597,142.0350418
Batchica,-36.1852297,142.4008233
Mitiamo,-36.2096299,144.22932
Kanyapella,-36.1649199,144.78618
Pullut,-35.9959899,142.03596
Galaquil,-35.9958899,142.40911
Gredgwin,-35.9705981,143.6185754
Barnes,-36.0366199,144.78987
Table Top,-35.9690689,147.0026474
Albacutya,-35.81316,141.9970664
Goyura,-35.7933593,142.4214316
Rosebery,-35.8354796,142.4240841
South Kerang,-35.8004836,143.9561087
Bunnaloo,-35.7846799,144.59316
Warragoon,-35.8205499,146.04113
